date,route,n
2019-01-25,4,3938
2019-01-25,4A,949
2019-01-25,53,5563
2019-01-25,53A,6681
2019-01-25,5A,3508
2019-01-25,6,344
2019-01-25,7,182
2019-01-25,7A,1734
2019-01-25,8,1752
2019-01-25,9,663
2019-01-25,91,8845
2019-01-25,H2,210
2019-01-25,H3,212
2019-01-25,H4,92
2019-01-25,H5,410
2019-01-26,1,5338
2019-01-26,12,1478
2019-01-26,15A,3458
2019-01-26,2,5025
2019-01-26,3,5020
2019-01-26,4,2472
2019-01-26,53,3470
2019-01-26,53A,4602
2019-01-26,5A,1267
2019-01-26,7,1537
2019-01-26,8,464
2019-01-26,91,4621
2019-01-26,H2,167
2019-01-26,H3,194
2019-01-26,H4,122
2019-01-26,H5,312
2019-01-27,1,4015
2019-01-27,12,1555
2019-01-27,15A,3964
2019-01-27,2,4641
2019-01-27,3,4408
2019-01-27,4,1907
2019-01-27,53,3159
2019-01-27,53A,4071
2019-01-27,5A,1207
2019-01-27,7,1584
2019-01-27,8,602
2019-01-27,91,4079
2019-01-27,H2,153
2019-01-27,H3,162
2019-01-27,H4,65
2019-01-27,H5,238
2019-01-27,H7,12
2019-01-28,1,6902
2019-01-28,10,2835
2019-01-28,12,1184
2019-01-28,15A,4084
2019-01-28,2,6788
2019-01-28,3,6684
2019-01-28,4,3166
2019-01-28,4A,1208
2019-01-28,53,5078
2019-01-28,53A,5816
2019-01-28,5A,3444
2019-01-28,6,315
2019-01-28,7A,2123
2019-01-28,8,1809
2019-01-28,9,574
2019-01-28,91,8957
2019-01-28,H2,115
2019-01-28,H3,183
2019-01-28,H4,92
2019-01-28,H5,283
2019-01-29,1,5820
2019-01-29,10,2731
2019-01-29,12,1294
2019-01-29,15A,4578
2019-01-29,2,5223
2019-01-29,3,7266
2019-01-29,4,4160
2019-01-29,4A,1103
2019-01-29,53,6072
2019-01-29,53A,6213
2019-01-29,5A,4085
2019-01-29,6,546
2019-01-29,7,6
2019-01-29,7A,2143
2019-01-29,8,1806
2019-01-29,9,621
2019-01-29,91,8621
2019-01-29,H2,107
2019-01-29,H3,113
2019-01-29,H4,140
2019-01-29,H5,295
2019-01-30,1,6807
2019-01-30,10,2387
2019-01-30,12,1643
2019-01-30,15A,4834
2019-01-30,2,7080
2019-01-30,3,6706
2019-01-30,4,3577
2019-01-30,4A,1272
2019-01-30,53,5733
2019-01-30,53A,5738
2019-01-30,5A,3216
2019-01-30,6,447
2019-01-30,7,348
2019-01-30,7A,1754
2019-01-30,8,1952
2019-01-30,9,714
2019-01-30,91,8503
2019-01-30,H2,167
2019-01-30,H3,252
2019-01-30,H4,86
2019-01-30,H5,290
2019-01-31,1,6754
2019-01-31,10,2270
2019-01-31,12,1195
2019-01-31,15A,5167
2019-01-31,2,6943
2019-01-31,3,6718
2019-01-31,4,3663
2019-01-31,4A,966
2019-01-31,53,4671
2019-01-31,53A,6623
2019-01-31,5A,3750
2019-01-31,6,417
2019-01-31,7A,2101
2019-01-31,8,1520
2019-01-31,9,663
2019-01-31,91,8087
2019-01-31,H2,181
2019-01-31,H3,160
2019-01-31,H4,76
2019-01-31,H5,328
