"route","stop_id","direction","date","transactions","geometry"
"53A",1546,0,2018-08-08,63,"{""type"":""LineString"",""coordinates"":[[28.6589971802353,50.3028119030588],[28.659021,50.302791],[28.65908,50.30274],[28.65916,50.30268],[28.659289,50.302633],[28.65989,50.30241],[28.66043,50.30225],[28.66099,50.30206],[28.66183,50.30176],[28.6627,50.30143],[28.662861,50.301375],[28.66323,50.30125],[28.663437,50.301169],[28.66319,50.30094],[28.663147,50.300902],[28.6631109024671,50.3008695858889]]}"
H7,2629,0,2018-08-10,0,"{""type"":""LineString"",""coordinates"":[[28.7219741893518,50.2597246343565],[28.722015,50.259696],[28.72208,50.25965],[28.7242,50.25814],[28.724895,50.257668],[28.72495,50.25763],[28.72556,50.25718],[28.72565,50.25712],[28.7257,50.25708],[28.7258335062187,50.2569718525044]]}"
"53",1631,1,2018-08-11,22,"{""type"":""LineString"",""coordinates"":[[28.7024648382496,50.2435220052359],[28.7024,50.24302],[28.70235,50.2426],[28.702301,50.242237],[28.70218,50.24133],[28.7021,50.24067],[28.7020987555205,50.2406596293375]]}"
"10",120,1,2018-08-07,37,"{""type"":""LineString"",""coordinates"":[[28.7249247214142,50.2576474652047],[28.724895,50.257668],[28.7242,50.25814],[28.72208,50.25965],[28.722015,50.259696],[28.72171,50.25991],[28.721443,50.260094],[28.7211192697648,50.260319577983]]}"
"53",1624,0,2018-08-12,50,"{""type"":""LineString"",""coordinates"":[[28.697675576498,50.2677333282008],[28.697704,50.267713],[28.69782,50.26763],[28.69818,50.26737],[28.6983,50.26729],[28.69888,50.26685],[28.69945,50.26642],[28.70005,50.26598],[28.70042,50.265704],[28.700522,50.265627],[28.7010978831654,50.2652136417736]]}"
H5,2574,0,2018-08-07,2,"{""type"":""LineString"",""coordinates"":[[28.6483832585316,50.269254240035],[28.648385,50.269242],[28.64841,50.26907],[28.64844,50.26887],[28.64848,50.26855],[28.64851,50.26836],[28.64852,50.26826],[28.64853,50.26817],[28.64862,50.26752],[28.64863,50.267446],[28.648687,50.267028],[28.648705,50.266927],[28.64871,50.26684],[28.6487347679878,50.2666523348613]]}"
"3",1238,0,2018-08-10,45,"{""type"":""LineString"",""coordinates"":[[28.6968065695707,50.2690823487797],[28.696783,50.2691]]}"
"12",156,0,2018-08-11,60,"{""type"":""LineString"",""coordinates"":[[28.6584695106016,50.2644881076754],[28.658473,50.264474],[28.65854,50.2642],[28.65855,50.26415],[28.65856,50.26411],[28.65857,50.26407],[28.65859,50.26403],[28.65862,50.26396],[28.65871,50.26383],[28.65872,50.26381],[28.65947,50.26287],[28.65974,50.26253],[28.65978,50.26248],[28.65984,50.2624],[28.6602,50.26195],[28.66044,50.26165],[28.66107,50.26086],[28.661178,50.260721],[28.66128,50.26059],[28.66139,50.26044],[28.66165,50.26013],[28.66171,50.26005],[28.661773,50.259975],[28.661793,50.259952],[28.66194,50.25977],[28.6619723197348,50.259728673126]]}"
"4A",226,0,2018-08-10,37,"{""type"":""LineString"",""coordinates"":[[28.6564161512195,50.2927220390244],[28.65636,50.29246],[28.65619,50.29166],[28.65615,50.29147],[28.65595,50.29065],[28.65594,50.29059],[28.6559,50.29043],[28.655896,50.290417],[28.6558888864865,50.2903938810811]]}"
"3",1232,0,2018-08-06,65,"{""type"":""LineString"",""coordinates"":[[28.7023023373929,50.2422469076247],[28.70235,50.2426],[28.7024,50.24302],[28.702466,50.243531],[28.7025,50.24379],[28.70254,50.24413],[28.70262,50.24475],[28.70271,50.24543],[28.70283,50.24632],[28.702875,50.246688],[28.70292,50.24706],[28.702989,50.247441],[28.703069,50.247765],[28.70307,50.24777],[28.7030703121387,50.2477720289017]]}"
"53A",1588,1,2018-08-06,64,"{""type"":""LineString"",""coordinates"":[[28.6583517307864,50.2650205575889],[28.65835,50.265031],[28.65829,50.26539],[28.65818,50.266],[28.65808,50.26652],[28.65808,50.26658],[28.65802,50.26688],[28.657901,50.267658],[28.65779,50.26807],[28.65766,50.26874],[28.65762,50.26893],[28.65762,50.268933],[28.6575772829278,50.2691865165373]]}"
"53",1650,1,2018-08-06,34,"{""type"":""LineString"",""coordinates"":[[28.6553709634146,50.2851513292683],[28.65537,50.28516],[28.655369,50.285166],[28.65535,50.28536],[28.65534,50.28547],[28.65532,50.28557],[28.6553,50.28573],[28.65513,50.28638],[28.65508,50.28654],[28.65503,50.28672],[28.65499,50.28686],[28.65489,50.28717],[28.65484,50.28736],[28.654819,50.287434],[28.6548,50.28749],[28.65476,50.28762],[28.65474,50.2877],[28.65473,50.28776],[28.65473,50.28782],[28.65473,50.28786],[28.65473,50.28791],[28.65474,50.28796],[28.65475,50.28804],[28.65479,50.28816],[28.65483,50.28825],[28.65494,50.28849],[28.65523,50.28902],[28.655255,50.289063],[28.655428,50.289354],[28.65558,50.28963],[28.65563,50.28972],[28.65567,50.28981],[28.655673,50.289816],[28.6556871437232,50.2898501199096]]}"
"53A",1594,1,2018-08-12,24,"{""type"":""LineString"",""coordinates"":[[28.6553709634146,50.2851513292683],[28.65537,50.28516],[28.655369,50.285166],[28.65535,50.28536],[28.65534,50.28547],[28.65532,50.28557],[28.6553,50.28573],[28.65513,50.28638],[28.65508,50.28654],[28.65503,50.28672],[28.65499,50.28686],[28.65489,50.28717],[28.65484,50.28736],[28.654819,50.287434],[28.6548,50.28749],[28.65476,50.28762],[28.65474,50.2877],[28.65473,50.28776],[28.65473,50.28782],[28.65473,50.28786],[28.65473,50.28791],[28.65474,50.28796],[28.65475,50.28804],[28.65479,50.28816],[28.65483,50.28825],[28.65494,50.28849],[28.65523,50.28902],[28.655255,50.289063],[28.655428,50.289354],[28.65558,50.28963],[28.65563,50.28972],[28.65567,50.28981],[28.655673,50.289816],[28.6556871437232,50.2898501199096]]}"
