"i","n","d","x","y","tk","route"
34,"вул. Гагаріна",0,28.685055,50.244705,"marshrutka","1"
37,"вул. Жуйка",0,28.688416,50.242691,"marshrutka","1"
40,"пров. 3-й Магазинний",0,28.692438,50.240007,"marshrutka","1"
41,"пл. Смолянська",0,28.695212,50.238206,"marshrutka","1"
43,"вул. Лук’яненка",0,28.700669,50.237912,"marshrutka","1"
47,"вул. Івана Огієнка",0,28.702435,50.242229,"marshrutka","1"
50,"майдан Польовий",0,28.703865,50.247322,"marshrutka","1"
186,"магазин ""Берізка""",0,28.707029,50.247145,"marshrutka","1"
191,"вул. Космонавтів",0,28.710377,50.246708,"marshrutka","1"
191,"вул. Космонавтів",1,28.710377,50.246708,"marshrutka","1"
189,"вул. Кибальчича",1,28.709431,50.241873,"marshrutka","1"
187,"вул. Селецька",1,28.708189,50.237716,"marshrutka","1"
188,"вул. Вітрука",1,28.702998,50.237977,"marshrutka","1"
42,"пл. Смолянська",1,28.696663,50.237862,"marshrutka","1"
39,"пров. 3-й Магазинний",1,28.692189,50.240374,"marshrutka","1"
27788,"вул. Гагаріна",1,28.68654,50.244003,"marshrutka","1"
32,"вул. Довженка",1,28.680824,50.247169,"marshrutka","1"
30,"Університет ім. Івана Франка",1,28.676861,50.249013,"marshrutka","1"
25,"Старий Бульвар",1,28.669493,50.251991,"marshrutka","1"
24,"пл. Корольова",1,28.664021,50.253741,"marshrutka","1"
45,"Автомобільно-дорожний коледж",1,28.660803,50.254091,"marshrutka","1"
76,"пл. Перемоги",1,28.657115,50.256719,"marshrutka","1"
62,"вул. Ольжича",1,28.653347,50.261055,"marshrutka","1"
64,"вул. Лесі Українки",1,28.649035,50.265572,"marshrutka","1"
65,"вул. Домбровського",1,28.648795,50.267455,"marshrutka","1"
67,"вул. Миколи Сціборського",1,28.6483,50.270535,"marshrutka","1"
69,"вул. Перемоги",1,28.647856,50.274274,"marshrutka","1"
78,"пр. Миру",1,28.640827,50.277788,"marshrutka","1"
81,"ринок ""Хмільники""",1,28.636152,50.27862,"marshrutka","1"
83,"Панчішна фабрика",1,28.632519,50.279267,"marshrutka","1"
82,"Панчішна фабрика",1,28.631087,50.279235,"marshrutka","1"
268,"селище Лісове",0,28.604317,50.307611,"marshrutka","19A"
270,"Залізничний переїзд",0,28.605786,50.303571,"marshrutka","19A"
272,"вул. Фізкультурна",0,28.608959,50.299622,"marshrutka","19A"
254,"пл. Миру",0,28.611496,50.297119,"marshrutka","19A"
5630,"пров. 1-й Миру",0,28.611559,50.294868,"marshrutka","19A"
5627,"вул. Набережна",0,28.611829,50.290338,"marshrutka","19A"
5610,"Магазин",0,28.611678,50.287691,"marshrutka","19A"
86,"вул. Романа Шухевича",0,28.611977,50.282639,"marshrutka","19A"
