"vehicle","chunk","direction","fraction","start_datetime","transactions","group"
"1680TH",760,0,0.0478655626924459,2018-08-09 07:20:30,2,"53A-1680TH-27"
"1675TH",757,0,1,2018-08-09 07:21:24,1,"53A-1675TH-25"
"1676TH",443,0,0.330339619731935,2018-08-09 07:21:38,2,"53A-1676TH-15"
"1680TH",761,0,0.0905133404024285,2018-08-09 07:21:41,3,"53A-1680TH-27"
"1676TH",444,0,0.353042026482814,2018-08-09 07:22:07,0,"53A-1676TH-15"
"1680TH",762,0,0.131432738320303,2018-08-09 07:22:36,1,"53A-1680TH-27"
"1676TH",445,0,0.382218362558675,2018-08-09 07:23:21,0,"53A-1676TH-15"
"1680TH",763,0,0.150345576559304,2018-08-09 07:23:45,3,"53A-1680TH-27"
"1680TH",764,0,0.180026941254668,2018-08-09 07:24:38,1,"53A-1680TH-27"
"1676TH",446,0,0.419525325172209,2018-08-09 07:25:06,2,"53A-1676TH-15"
"1680TH",765,0,0.199647439157132,2018-08-09 07:25:14,0,"53A-1680TH-27"
"1680TH",766,0,0.212241876376867,2018-08-09 07:26:00,0,"53A-1680TH-27"
"1676TH",447,0,0.46842518672297,2018-08-09 07:27:13,2,"53A-1676TH-15"
"1680TH",767,0,0.247936630804854,2018-08-09 07:27:34,5,"53A-1680TH-27"
"1676TH",448,0,0.49080474825121,2018-08-09 07:28:00,0,"53A-1676TH-15"
"1676TH",449,0,0.505955643506436,2018-08-09 07:28:21,0,"53A-1676TH-15"
"1676TH",450,0,0.533187881045543,2018-08-09 07:29:18,0,"53A-1676TH-15"
"1680TH",768,0,0.27568910775833,2018-08-09 07:29:46,9,"53A-1680TH-27"
"1680TH",769,0,0.303546717999246,2018-08-09 07:31:20,0,"53A-1680TH-27"
"1676TH",451,0,0.584801297549189,2018-08-09 07:31:32,3,"53A-1676TH-15"
"1679TH",728,0,0.0277933531603601,2018-08-09 07:32:33,12,"53A-1679TH-26"
"1676TH",452,0,0.624291894632294,2018-08-09 07:32:37,0,"53A-1676TH-15"
"1680TH",770,0,0.330339619731935,2018-08-09 07:32:44,4,"53A-1680TH-27"
"1680TH",771,0,0.353042026482814,2018-08-09 07:33:15,0,"53A-1680TH-27"
"1685TH",780,0,0,2018-08-09 07:33:26,0,"53A-1685TH-28"
"1679TH",729,0,0.0478655626924459,2018-08-09 07:33:44,4,"53A-1679TH-26"
"1676TH",453,0,0.662185613658879,2018-08-09 07:34:13,0,"53A-1676TH-15"
"1680TH",772,0,0.382218362558675,2018-08-09 07:34:51,1,"53A-1680TH-27"
"1679TH",730,0,0.0905133404024285,2018-08-09 07:35:14,5,"53A-1679TH-26"
"1679TH",731,0,0.131432738320303,2018-08-09 07:36:20,1,"53A-1679TH-26"
"1676TH",454,0,0.72450095762779,2018-08-09 07:36:29,1,"53A-1676TH-15"
"1680TH",773,0,0.419525325172209,2018-08-09 07:36:38,0,"53A-1680TH-27"
"1679TH",732,0,0.150345576559304,2018-08-09 07:37:22,1,"53A-1679TH-26"
"1676TH",455,0,0.756451241285734,2018-08-09 07:37:26,0,"53A-1676TH-15"
"1680TH",774,0,0.46842518672297,2018-08-09 07:38:08,3,"53A-1680TH-27"
"1679TH",733,0,0.180026941254668,2018-08-09 07:38:10,0,"53A-1679TH-26"
"1676TH",456,0,0.788738905316075,2018-08-09 07:38:23,1,"53A-1676TH-15"
"1679TH",734,0,0.199647439157132,2018-08-09 07:38:32,0,"53A-1679TH-26"
"1676TH",457,0,0.828473509197723,2018-08-09 07:38:56,0,"53A-1676TH-15"
"1679TH",735,0,0.212241876376867,2018-08-09 07:39:04,1,"53A-1679TH-26"
"1680TH",775,0,0.49080474825121,2018-08-09 07:39:23,1,"53A-1680TH-27"
"1680TH",776,0,0.505955643506436,2018-08-09 07:39:49,0,"53A-1680TH-27"
"1676TH",458,0,0.855617245750311,2018-08-09 07:40:00,1,"53A-1676TH-15"
"1680TH",777,0,0.533187881045543,2018-08-09 07:41:17,0,"53A-1680TH-27"
"1679TH",736,0,0.247936630804854,2018-08-09 07:41:29,11,"53A-1679TH-26"
"1676TH",459,0,0.901893539482529,2018-08-09 07:41:44,1,"53A-1676TH-15"
"1680TH",778,0,0.584801297549189,2018-08-09 07:42:43,0,"53A-1680TH-27"
"1685TH",781,0,0.0277933531603601,2018-08-09 07:43:15,5,"53A-1685TH-28"
"1679TH",737,0,0.27568910775833,2018-08-09 07:43:32,7,"53A-1679TH-26"
"1676TH",460,0,0.946294086999221,2018-08-09 07:44:01,2,"53A-1676TH-15"
"1680TH",779,0,0.624291894632294,2018-08-09 07:44:05,0,"53A-1680TH-27"
"1685TH",782,0,0.0478655626924459,2018-08-09 07:44:09,3,"53A-1685TH-28"
"1679TH",738,0,0.303546717999246,2018-08-09 07:45:01,3,"53A-1679TH-26"
"1680TH",780,0,0.662185613658879,2018-08-09 07:45:03,1,"53A-1680TH-27"
"1685TH",783,0,0.0905133404024285,2018-08-09 07:45:30,5,"53A-1685TH-28"
"1685TH",784,0,0.131432738320303,2018-08-09 07:46:23,0,"53A-1685TH-28"
"1679TH",739,0,0.330339619731935,2018-08-09 07:46:40,1,"53A-1679TH-26"
"1680TH",781,0,0.72450095762779,2018-08-09 07:46:57,2,"53A-1680TH-27"
"1676TH",461,0,1,2018-08-09 07:46:57,2,"53A-1676TH-15"
"1679TH",740,0,0.353042026482814,2018-08-09 07:47:08,0,"53A-1679TH-26"
"1685TH",785,0,0.150345576559304,2018-08-09 07:47:41,4,"53A-1685TH-28"
"1679TH",741,0,0.382218362558675,2018-08-09 07:48:11,1,"53A-1679TH-26"
"1680TH",782,0,0.756451241285734,2018-08-09 07:48:19,1,"53A-1680TH-27"
"1688TH",1385,0,0,2018-08-09 07:48:48,0,"53A-1688TH-51"
"1685TH",786,0,0.180026941254668,2018-08-09 07:48:58,2,"53A-1685TH-28"
"1685TH",787,0,0.199647439157132,2018-08-09 07:49:42,1,"53A-1685TH-28"
"1680TH",783,0,0.788738905316075,2018-08-09 07:49:48,2,"53A-1680TH-27"
"1679TH",742,0,0.419525325172209,2018-08-09 07:50:14,3,"53A-1679TH-26"
"1680TH",784,0,0.828473509197723,2018-08-09 07:50:16,0,"53A-1680TH-27"
"1685TH",788,0,0.212241876376867,2018-08-09 07:50:54,7,"53A-1685TH-28"
"1680TH",785,0,0.855617245750311,2018-08-09 07:51:07,1,"53A-1680TH-27"
"1680TH",786,0,0.901893539482529,2018-08-09 07:52:06,0,"53A-1680TH-27"
"1679TH",743,0,0.46842518672297,2018-08-09 07:52:11,2,"53A-1679TH-26"
"1685TH",789,0,0.247936630804854,2018-08-09 07:52:44,6,"53A-1685TH-28"
"1679TH",744,0,0.49080474825121,2018-08-09 07:52:58,1,"53A-1679TH-26"
"1679TH",745,0,0.505955643506436,2018-08-09 07:53:24,0,"53A-1679TH-26"
"1680TH",787,0,0.946294086999221,2018-08-09 07:54:26,3,"53A-1680TH-27"
"1679TH",746,0,0.533187881045543,2018-08-09 07:54:44,0,"53A-1679TH-26"
"1685TH",790,0,0.27568910775833,2018-08-09 07:54:46,10,"53A-1685TH-28"
"1685TH",791,0,0.303546717999246,2018-08-09 07:56:03,6,"53A-1685TH-28"
"1680TH",788,0,1,2018-08-09 07:56:07,1,"53A-1680TH-27"
"1688TH",1386,0,0.0277933531603601,2018-08-09 07:57:08,12,"53A-1688TH-51"
"1685TH",792,0,0.330339619731935,2018-08-09 07:57:36,2,"53A-1685TH-28"
"1679TH",747,0,0.584801297549189,2018-08-09 07:57:45,3,"53A-1679TH-26"
"1685TH",793,0,0.353042026482814,2018-08-09 07:58:00,0,"53A-1685TH-28"
"1688TH",1387,0,0.0478655626924459,2018-08-09 07:58:14,5,"53A-1688TH-51"
"1685TH",794,0,0.382218362558675,2018-08-09 07:59:06,1,"53A-1685TH-28"
"1679TH",748,0,0.624291894632294,2018-08-09 07:59:17,0,"53A-1679TH-26"
"1688TH",1388,0,0.0905133404024285,2018-08-09 07:59:40,2,"53A-1688TH-51"
"1688TH",1389,0,0.131432738320303,2018-08-09 08:00:14,0,"53A-1688TH-51"
"1679TH",749,0,0.662185613658879,2018-08-09 08:00:23,0,"53A-1679TH-26"
"1675TH",786,0,0,2018-08-09 08:00:31,0,"53A-1675TH-27"
"1685TH",795,0,0.419525325172209,2018-08-09 08:00:33,3,"53A-1685TH-28"
"1688TH",1390,0,0.150345576559304,2018-08-09 08:00:56,0,"53A-1688TH-51"
"1679TH",750,0,0.72450095762779,2018-08-09 08:02:05,0,"53A-1679TH-26"
"1685TH",796,0,0.46842518672297,2018-08-09 08:02:15,0,"53A-1685TH-28"
"1688TH",1391,0,0.180026941254668,2018-08-09 08:02:26,2,"53A-1688TH-51"
"1688TH",1392,0,0.199647439157132,2018-08-09 08:02:52,0,"53A-1688TH-51"
"1679TH",751,0,0.756451241285734,2018-08-09 08:03:01,1,"53A-1679TH-26"
"1685TH",797,0,0.49080474825121,2018-08-09 08:03:08,0,"53A-1685TH-28"
"1688TH",1393,0,0.212241876376867,2018-08-09 08:03:38,1,"53A-1688TH-51"
"1685TH",798,0,0.505955643506436,2018-08-09 08:03:46,0,"53A-1685TH-28"
"1679TH",752,0,0.788738905316075,2018-08-09 08:04:03,0,"53A-1679TH-26"
"1679TH",753,0,0.828473509197723,2018-08-09 08:04:40,4,"53A-1679TH-26"
"1679TH",754,0,0.855617245750311,2018-08-09 08:05:19,0,"53A-1679TH-26"
"1685TH",799,0,0.533187881045543,2018-08-09 08:05:42,1,"53A-1685TH-28"
"1688TH",1394,0,0.247936630804854,2018-08-09 08:05:46,5,"53A-1688TH-51"
"1679TH",755,0,0.901893539482529,2018-08-09 08:06:20,2,"53A-1679TH-26"
